dataset,baseline_model,metric,analysis_group,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
JM1,mlp,recall,supplementary,5,0.09666666666666664,0.1847619047619047,-0.08809523809523809,0.04551917689120274,-0.14461476126891337,-0.0315757149215628,-1.9353433895739844,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,logistic_regression,roc_auc,primary,5,0.7610427315477406,0.7800245348599468,-0.018981803312206093,0.008900600731942418,-0.030033358803445084,-0.0079302478209671,-2.132642939940483,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,logistic_regression,pr_auc,primary,5,0.35857753752154486,0.4164660042762571,-0.05788846675471223,0.0024957794762620208,-0.060987386277842635,-0.054789547231581824,-23.194543951219984,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,logistic_regression,f1,primary,5,0.1534031087437311,0.2142857142857142,-0.060882605541983104,0.023308667627244047,-0.08982413898082964,-0.03194107210313656,-2.612015689426247,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,logistic_regression,accuracy,supplementary,5,0.837037037037037,0.8472222222222221,-0.010185185185185186,0.0026392949655072466,-0.013462302724495986,-0.0069080676458743865,-3.859055284950954,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,logistic_regression,precision,supplementary,5,0.394733893557423,0.5294117647058824,-0.1346778711484594,0.03626472078422843,-0.1797064693511477,-0.08964927294577107,-3.713743501563948,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,logistic_regression,recall,supplementary,5,0.09552238805970144,0.1343283582089552,-0.03880597014925376,0.017017543658196098,-0.059936041447496674,-0.01767589885101084,-2.2803508501982765,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,random_forest,roc_auc,primary,5,0.7610427315477406,0.7676098957268452,-0.006567164179104479,0.01192675429085449,-0.021376185597480793,0.008241857239271833,-0.5506245889663562,-0.6,3.0,0.3125,0.9375,0.3125,0.9375,hybrid_attention_lower
KC1,random_forest,pr_auc,primary,5,0.35857753752154486,0.37819325340589616,-0.019615715884351303,0.011857538962886398,-0.03433879512186577,-0.004892636646836835,-1.654282220429355,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,random_forest,f1,primary,5,0.1534031087437311,0.3234137757667169,-0.1700106670229858,0.02633537918552356,-0.20271035923669525,-0.13731097480927637,-6.4555997400045,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,random_forest,accuracy,supplementary,5,0.837037037037037,0.8157407407407407,0.02129629629629628,0.013537214367790193,0.0044876245798444354,0.038104968012748125,1.5731668065305724,0.8666666666666667,1.0,0.125,1.0,0.125,1.0,hybrid_attention_higher
KC1,random_forest,precision,supplementary,5,0.394733893557423,0.38203322015282354,0.012700673404599372,0.05272598699979407,-0.05276728642280474,0.07816863323200349,0.24088071418461976,0.3333333333333333,5.0,0.625,1.0,0.625,1.0,hybrid_attention_higher
KC1,random_forest,recall,supplementary,5,0.09552238805970144,0.28358208955223874,-0.1880597014925373,0.020024489350744443,-0.2129233890017714,-0.16319601398330322,-9.39148550549909,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,mlp,roc_auc,primary,5,0.7610427315477406,0.7667552647720303,-0.005712533224289551,0.014766079994439484,-0.02404704314798193,0.012621976699402827,-0.38686863584923964,-0.2,6.0,0.8125,1.0,0.5,1.0,hybrid_attention_lower
KC1,mlp,pr_auc,primary,5,0.35857753752154486,0.3806815397489616,-0.02210400222741672,0.006526746631561742,-0.030208028545224634,-0.013999975909608801,-3.386679991609786,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,mlp,f1,primary,5,0.1534031087437311,0.2844575290284811,-0.13105442028475,0.04039049925502429,-0.1812058490791897,-0.0809029914903103,-3.244684336711876,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,mlp,accuracy,supplementary,5,0.837037037037037,0.8430555555555556,-0.006018518518518534,0.003105649968749718,-0.009874692275737711,-0.002162344761299357,-1.9379255804998166,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,mlp,precision,supplementary,5,0.394733893557423,0.48752085650723026,-0.09278696294980729,0.02177662818519926,-0.11982621816963863,-0.06574770772997594,-4.260850769030948,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC1,mlp,recall,supplementary,5,0.09552238805970144,0.20298507462686563,-0.10746268656716418,0.037163879396981285,-0.15360773764798255,-0.06131763548634581,-2.8915895840489965,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC2,logistic_regression,roc_auc,primary,5,0.8231139646869983,0.8239700374531835,-0.0008560727661852008,0.006871221442376862,-0.009387821054870307,0.007675675522499905,-0.12458814977284038,-0.06666666666666667,7.0,1.0,1.0,0.8125,1.0,hybrid_attention_lower
KC2,logistic_regression,pr_auc,primary,5,0.581355140882453,0.583305877050964,-0.0019507361685109803,0.010450680686257506,-0.014926970133360359,0.011025497796338397,-0.18666115893064938,-0.3333333333333333,5.0,0.625,1.0,0.6875,1.0,hybrid_attention_lower
KC2,logistic_regression,f1,primary,5,0.44419067333678336,0.4,0.0441906733367833,0.025073920994440668,0.013057288344180743,0.07532405832938587,1.7624157524697137,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
KC2,logistic_regression,accuracy,supplementary,5,0.8399999999999999,0.8363636363636363,0.003636363636363682,0.01651445647689537,-0.016869042420900312,0.024141769693627673,0.22019275302527538,0.4666666666666667,4.0,0.4375,1.0,0.5,1.0,hybrid_attention_higher
KC2,logistic_regression,precision,supplementary,5,0.6754700854700855,0.6666666666666666,0.008803418803418839,0.11044904658393202,-0.12833718597578025,0.14594402358261793,0.07970570209249364,0.06666666666666667,7.0,1.0,1.0,0.8125,1.0,hybrid_attention_higher
KC2,logistic_regression,recall,supplementary,5,0.3333333333333333,0.2857142857142857,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,inf,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
KC2,random_forest,roc_auc,primary,5,0.8231139646869983,0.8188336008560727,0.004280363830925582,0.0033413579445684223,0.00013151996604283608,0.008429207695808329,1.2810252304406866,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
KC2,random_forest,pr_auc,primary,5,0.581355140882453,0.5755942391526953,0.005760901729757783,0.021864495304793872,-0.021387454929100054,0.03290925838861562,0.26348203557640243,0.4666666666666667,4.0,0.4375,1.0,0.5625,1.0,hybrid_attention_higher
KC2,random_forest,f1,primary,5,0.44419067333678336,0.4556451612903226,-0.011454487953539228,0.02606351648985729,-0.043816618045585225,0.020907642138506773,-0.4394835960833137,-0.4,3.0,0.625,1.0,0.5,1.0,hybrid_attention_lower
KC2,random_forest,accuracy,supplementary,5,0.8399999999999999,0.8436363636363635,-0.0036363636363636155,0.015212000482437716,-0.02252455697606485,0.015251829703337622,-0.2390457218668777,-0.16666666666666666,2.5,1.0,1.0,1.0,1.0,hybrid_attention_lower
KC2,random_forest,precision,supplementary,5,0.6754700854700855,0.68,-0.004529914529914514,0.10682000137488051,-0.1371644645251805,0.12810463546535145,-0.04240698812591249,0.0,5.0,1.0,1.0,1.0,1.0,hybrid_attention_lower
KC2,random_forest,recall,supplementary,5,0.3333333333333333,0.34285714285714286,-0.009523809523809513,0.02129588549999797,-0.035966143859026606,0.016918524811407584,-0.447213595499958,-1.0,0.0,1.0,1.0,1.0,1.0,hybrid_attention_lower
KC2,mlp,roc_auc,primary,5,0.8231139646869983,0.8584269662921347,-0.03531300160513651,0.005177100717058228,-0.04174122118058261,-0.0288847820296904,-6.820999539140187,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC2,mlp,pr_auc,primary,5,0.581355140882453,0.6083676266375528,-0.027012485755099735,0.016075096438129523,-0.04697235426997876,-0.0070526172402207085,-1.6803933873159937,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
