dataset,baseline_model,metric,analysis_group,training_seeds,split_seed,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,wilcoxon_statistic,wilcoxon_p_value,exact_sign_flip_p_value,paired_rank_biserial,wilcoxon_p_holm_by_metric,sign_flip_p_holm_by_metric,observed_direction,wilcoxon_holm_significant_alpha_0.05,sign_flip_holm_significant_alpha_0.05
CM1,random_forest,precision,supplementary,"42,43,44,45,46",42,5,0.21666666666666665,0.06666666666666667,0.15,0.13693063937629155,0.0,0.25,0.25,1.0,1.0,1.0,hybrid_attention_higher,False,False
JM1,logistic_regression,precision,supplementary,"42,43,44,45,46",42,5,0.6591247009101033,0.5774647887323944,0.08165991217770903,0.029835767771518425,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,mlp,precision,supplementary,"42,43,44,45,46",42,5,0.6591247009101033,0.5118884396283917,0.1472362612817117,0.03399981917261675,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,random_forest,precision,supplementary,"42,43,44,45,46",42,5,0.6591247009101033,0.5141455130710983,0.14497918783900504,0.03257989003464775,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
KC1,logistic_regression,precision,supplementary,"42,43,44,45,46",42,5,0.394733893557423,0.5294117647058824,-0.1346778711484594,0.03626472078422843,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,mlp,precision,supplementary,"42,43,44,45,46",42,5,0.394733893557423,0.48752085650723026,-0.09278696294980729,0.02177662818519926,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,random_forest,precision,supplementary,"42,43,44,45,46",42,5,0.394733893557423,0.38203322015282354,0.012700673404599372,0.05272598699979407,5.0,0.625,0.625,0.3333333333333333,1.0,1.0,hybrid_attention_higher,False,False
KC2,logistic_regression,precision,supplementary,"42,43,44,45,46",42,5,0.6754700854700855,0.6666666666666666,0.008803418803418839,0.11044904658393202,7.0,1.0,0.8125,0.06666666666666667,1.0,1.0,hybrid_attention_higher,False,False
KC2,mlp,precision,supplementary,"42,43,44,45,46",42,5,0.6754700854700855,0.605934065934066,0.06953601953601954,0.11003419532350467,3.0,0.3125,0.25,0.6,1.0,1.0,hybrid_attention_higher,False,False
KC2,random_forest,precision,supplementary,"42,43,44,45,46",42,5,0.6754700854700855,0.68,-0.004529914529914514,0.10682000137488051,5.0,1.0,1.0,0.0,1.0,1.0,hybrid_attention_lower,False,False
PC1,logistic_regression,precision,supplementary,"42,43,44,45,46",42,5,0.2,0.25,-0.05,0.44721359549995804,5.0,0.625,1.0,-0.3333333333333333,1.0,1.0,hybrid_attention_lower,False,False
PC1,mlp,precision,supplementary,"42,43,44,45,46",42,5,0.2,0.03333333333333332,0.16666666666666669,0.4714045207910316,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,hybrid_attention_higher,False,False
PC1,random_forest,precision,supplementary,"42,43,44,45,46",42,5,0.2,0.4666666666666666,-0.26666666666666666,0.521749194749951,5.0,0.625,0.375,-0.3333333333333333,1.0,1.0,hybrid_attention_lower,False,False
CM1,logistic_regression,recall,supplementary,"42,43,44,45,46",42,5,0.08,0.1,-0.02,0.044721359549995794,0.0,1.0,1.0,-1.0,1.0,1.0,hybrid_attention_lower,False,False
CM1,mlp,recall,supplementary,"42,43,44,45,46",42,5,0.08,0.06000000000000001,0.02,0.08366600265340757,2.0,0.75,1.0,0.3333333333333333,1.0,1.0,hybrid_attention_higher,False,False
CM1,random_forest,recall,supplementary,"42,43,44,45,46",42,5,0.08,0.02,0.06000000000000001,0.05477225575051661,0.0,0.25,0.25,1.0,1.0,1.0,hybrid_attention_higher,False,False
JM1,logistic_regression,recall,supplementary,"42,43,44,45,46",42,5,0.09666666666666664,0.0976190476190476,-0.0009523809523809851,0.02038462361238474,7.0,1.0,0.9375,-0.06666666666666667,1.0,1.0,hybrid_attention_lower,False,False
JM1,mlp,recall,supplementary,"42,43,44,45,46",42,5,0.09666666666666664,0.1847619047619047,-0.08809523809523809,0.04551917689120274,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
JM1,random_forest,recall,supplementary,"42,43,44,45,46",42,5,0.09666666666666664,0.20142857142857137,-0.10476190476190475,0.017896781402824906,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,logistic_regression,recall,supplementary,"42,43,44,45,46",42,5,0.09552238805970144,0.1343283582089552,-0.03880597014925376,0.017017543658196098,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,mlp,recall,supplementary,"42,43,44,45,46",42,5,0.09552238805970144,0.20298507462686563,-0.10746268656716418,0.037163879396981285,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,random_forest,recall,supplementary,"42,43,44,45,46",42,5,0.09552238805970144,0.28358208955223874,-0.1880597014925373,0.020024489350744443,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC2,logistic_regression,recall,supplementary,"42,43,44,45,46",42,5,0.3333333333333333,0.2857142857142857,0.047619047619047616,0.0,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
KC2,mlp,recall,supplementary,"42,43,44,45,46",42,5,0.3333333333333333,0.4095238095238094,-0.07619047619047613,0.026082026547865053,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC2,random_forest,recall,supplementary,"42,43,44,45,46",42,5,0.3333333333333333,0.34285714285714286,-0.009523809523809513,0.02129588549999797,0.0,1.0,1.0,-1.0,1.0,1.0,hybrid_attention_lower,False,False
PC1,logistic_regression,recall,supplementary,"42,43,44,45,46",42,5,0.0111111111111111,0.05555555555555549,-0.0444444444444444,0.024845199749997632,0.0,0.125,0.125,-1.0,1.0,1.0,hybrid_attention_lower,False,False
