dataset,model,training_seed,split_seed,threshold,train_samples,validation_samples,test_samples,train_positive,validation_positive,test_positive,validation_roc_auc,validation_pr_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_youden_j,validation_tn,validation_fp,validation_fn,validation_tp,test_roc_auc,test_pr_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_youden_j,test_tn,test_fp,test_fn,test_tp,mlp_iterations,mlp_final_loss
JM1,mlp,42,42,0.5,8491,2190,2523,1336,347,420,0.712519213598928,0.3447827279666686,0.836986301369863,0.5885178125503306,0.46987951807228917,0.22478386167146974,0.30409356725146197,0.1770356251006613,1755,88,269,78,0.7090692434843648,0.3788662682448468,0.8335315101070154,0.5857448542897901,0.5,0.21428571428571427,0.3,0.17148970857958012,2013,90,330,90,50.0,0.33895234942501673
JM1,logistic_regression,43,42,0.5,8491,2190,2523,1336,347,420,0.6952789666015659,0.3257639168237151,0.8388127853881279,0.532291355561428,0.453125,0.08357348703170028,0.1411192214111922,0.06458271112285607,1808,35,318,29,0.7184515318252835,0.3753051177070119,0.8378913991280222,0.5416768561918348,0.5774647887323944,0.09761904761904762,0.1670061099796334,0.08335371238366962,2073,30,379,41,,
JM1,random_forest,43,42,0.5,8491,2190,2523,1336,347,420,0.6872174643209527,0.34375824195476756,0.8388127853881279,0.5802459966130902,0.4794520547945205,0.2017291066282421,0.2839756592292089,0.16049199322618035,1767,76,277,70,0.7200235491248331,0.3862718629454731,0.8355132778438367,0.5821700292099722,0.5151515151515151,0.20238095238095238,0.2905982905982906,0.16434005841994437,2023,80,335,85,,
JM1,mlp,43,42,0.5,8491,2190,2523,1336,347,420,0.7032677582127874,0.34559442323842615,0.8438356164383561,0.5633466297431984,0.5247524752475248,0.15273775216138327,0.23660714285714285,0.12669325948639676,1795,48,294,53,0.6892149536942689,0.3436876394543084,0.8315497423701942,0.5512108552408125,0.4782608695652174,0.13095238095238096,0.205607476635514,0.10242171048162496,2043,60,365,55,50.0,0.33797880591406054
JM1,logistic_regression,44,42,0.5,8491,2190,2523,1336,347,420,0.6952789666015659,0.3257639168237151,0.8388127853881279,0.532291355561428,0.453125,0.08357348703170028,0.1411192214111922,0.06458271112285607,1808,35,318,29,0.7184515318252835,0.3753051177070119,0.8378913991280222,0.5416768561918348,0.5774647887323944,0.09761904761904762,0.1670061099796334,0.08335371238366962,2073,30,379,41,,
JM1,random_forest,44,42,0.5,8491,2190,2523,1336,347,420,0.6862073333010175,0.34457969146823453,0.8406392694063927,0.5801615584163773,0.4928571428571429,0.1988472622478386,0.28336755646817247,0.16032311683275458,1772,71,278,69,0.7189627063378846,0.3831709047778823,0.8335315101070154,0.5800285306704708,0.5,0.2,0.2857142857142857,0.16005706134094155,2019,84,336,84,,
JM1,mlp,44,42,0.5,8491,2190,2523,1336,347,420,0.7035711102528299,0.3369524276485838,0.8410958904109589,0.5734151028660514,0.49606299212598426,0.18155619596541786,0.26582278481012656,0.1468302057321027,1779,64,284,63,0.6937594819192536,0.35728435753654375,0.8363059849385652,0.5702601725426262,0.5255474452554745,0.17142857142857143,0.2585278276481149,0.14052034508525235,2038,65,348,72,50.0,0.3362767807244998
JM1,logistic_regression,45,42,0.5,8491,2190,2523,1336,347,420,0.6952789666015659,0.3257639168237151,0.8388127853881279,0.532291355561428,0.453125,0.08357348703170028,0.1411192214111922,0.06458271112285607,1808,35,318,29,0.7184515318252835,0.3753051177070119,0.8378913991280222,0.5416768561918348,0.5774647887323944,0.09761904761904762,0.1670061099796334,0.08335371238366962,2073,30,379,41,,
JM1,random_forest,45,42,0.5,8491,2190,2523,1336,347,420,0.6822653204507749,0.3423626015245396,0.8415525114155251,0.5818737774052768,0.5,0.2017291066282421,0.2874743326488706,0.16374755481055359,1773,70,277,70,0.717528247628105,0.3860063730266604,0.8347205707491082,0.5826472386386794,0.5088757396449705,0.20476190476190476,0.2920203735144312,0.1652944772773588,2020,83,334,86,,
JM1,mlp,45,42,0.5,8491,2190,2523,1336,347,420,0.7138389513401437,0.3571925867184964,0.8470319634703196,0.5921470913386738,0.5428571428571428,0.21902017291066284,0.31211498973305957,0.18429418267734765,1779,64,271,76,0.6982581572809818,0.3638495025701035,0.8378913991280222,0.5845492833367298,0.5341614906832298,0.20476190476190476,0.29604130808950085,0.16909856667345968,2028,75,334,86,50.0,0.33498026989575175
JM1,logistic_regression,46,42,0.5,8491,2190,2523,1336,347,420,0.6952789666015659,0.3257639168237151,0.8388127853881279,0.532291355561428,0.453125,0.08357348703170028,0.1411192214111922,0.06458271112285607,1808,35,318,29,0.7184515318252835,0.3753051177070119,0.8378913991280222,0.5416768561918348,0.5774647887323944,0.09761904761904762,0.1670061099796334,0.08335371238366962,2073,30,379,41,,
JM1,random_forest,46,42,0.5,8491,2190,2523,1336,347,420,0.6853559148174961,0.34232942744291495,0.8406392694063927,0.5789919330248733,0.4927536231884058,0.19596541786743515,0.2804123711340206,0.15798386604974657,1773,70,279,68,0.7172282227203769,0.38431613476889775,0.835909631391201,0.5805023435907887,0.51875,0.1976190476190476,0.28620689655172415,0.16100468718157734,2026,77,337,83,,
JM1,mlp,46,42,0.5,8491,2190,2523,1336,347,420,0.6969286387780855,0.3506795855589288,0.8351598173515982,0.574566746048996,0.4527027027027027,0.1930835734870317,0.27070707070707073,0.1491334920979921,1762,81,280,67,0.69821400267192,0.3709043769657038,0.8363059849385652,0.5826455403844848,0.5214723926380368,0.20238095238095238,0.2915951972555746,0.1652910807689696,2025,78,335,85,50.0,0.33971183781573555
KC1,logistic_regression,42,42,0.5,1370,307,432,209,50,67,0.7891050583657588,0.5071077288026293,0.8599348534201955,0.6344357976653696,0.6521739130434783,0.3,0.410958904109589,0.26887159533073923,249,8,35,15,0.7800245348599468,0.4164660042762571,0.8472222222222222,0.5562052749948886,0.5294117647058824,0.13432835820895522,0.21428571428571427,0.11241054998977718,357,8,58,9,,
KC1,random_forest,42,42,0.5,1370,307,432,209,50,67,0.8260700389105059,0.5408604128468185,0.8697068403908795,0.7047081712062256,0.6388888888888888,0.46,0.5348837209302325,0.4094163424124513,244,13,27,23,0.7728276426088734,0.3765440157995751,0.8078703703703703,0.5877530157432018,0.34615384615384615,0.26865671641791045,0.3025210084033613,0.17550603148640365,331,34,49,18,,
KC1,mlp,42,42,0.5,1370,307,432,209,50,67,0.8398443579766537,0.6105600502284778,0.8827361563517915,0.7044357976653697,0.7333333333333333,0.44,0.55,0.40887159533073936,249,8,28,22,0.7539766918830505,0.3840517928581233,0.8472222222222222,0.5927622163156819,0.5172413793103449,0.22388059701492538,0.3125,0.18552443263136387,351,14,52,15,50.0,0.25515969955195367
