dataset,reference_variant,ablation_variant,ablation_description,metric,analysis_group,n_pairs,reference_mean,ablation_mean,mean_difference_ablation_minus_reference,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,recall,supplementary,5,0.08,0.0,-0.08,0.044721359549995794,-0.13552890210395596,-0.024471097896044028,-1.7888543819998317,-1.0,0.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,recall,supplementary,5,0.08,0.08,0.0,0.07071067811865477,-0.08779890330850847,0.08779890330850847,0.0,0.0,1.5,1.0,1.0,1.0,1.0,equal
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,recall,supplementary,5,0.09666666666666664,0.09190476190476185,-0.0047619047619047615,0.03677010764638213,-0.05041802363649448,0.040894214112684964,-0.12950478164763526,-0.26666666666666666,5.5,0.8125,1.0,0.75,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,recall,supplementary,5,0.09666666666666664,0.07952380952380948,-0.01714285714285714,0.024478691738047356,-0.047537167397118524,0.013251453111404243,-0.700317538465992,-0.6,3.0,0.3125,1.0,0.25,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,recall,supplementary,5,0.09666666666666664,0.10095238095238093,0.004285714285714297,0.017284468012268107,-0.01717578737322363,0.02574721594465222,0.2479517612386102,0.2,6.0,0.8125,1.0,0.625,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,recall,supplementary,5,0.09552238805970144,0.1104477611940298,0.014925373134328356,0.010553832555023087,0.0018210592076853185,0.028029687060971392,1.4142135623730963,1.0,0.0,0.125,1.0,0.125,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,recall,supplementary,5,0.09552238805970144,0.14626865671641784,0.05074626865671642,0.024974926165196316,0.019735801979594902,0.08175673533383794,2.0318886358684667,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,recall,supplementary,5,0.09552238805970144,0.10447761194029848,0.008955223880597041,0.013349659567162902,-0.00762056779222561,0.025531015553419693,0.67082039324994,0.8,1.5,0.1875,1.0,0.1875,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,recall,supplementary,5,0.3333333333333333,0.2666666666666666,-0.0666666666666667,0.026082026547865098,-0.09905178003134565,-0.03428155330198773,-2.556038601690772,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
KC2,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,recall,supplementary,5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,equal
