threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.3699999999999999,0.8431952662721893,0.48717948717948717,0.36538461538461536,0.4175824175824176,266,20,33,19
0.3799999999999999,0.8402366863905325,0.47368421052631576,0.34615384615384615,0.4,266,20,34,18
0.3899999999999999,0.849112426035503,0.5142857142857142,0.34615384615384615,0.41379310344827586,269,17,34,18
0.3999999999999998,0.8461538461538461,0.5,0.28846153846153844,0.36585365853658536,271,15,37,15
0.4099999999999998,0.8461538461538461,0.5,0.2692307692307692,0.35,272,14,38,14
0.4199999999999998,0.849112426035503,0.5185185185185185,0.2692307692307692,0.35443037974683544,273,13,38,14
0.4299999999999998,0.849112426035503,0.52,0.25,0.33766233766233766,274,12,39,13
0.43999999999999984,0.8520710059171598,0.5454545454545454,0.23076923076923078,0.32432432432432434,276,10,40,12
0.44999999999999984,0.8461538461538461,0.5,0.19230769230769232,0.2777777777777778,276,10,42,10
0.45999999999999985,0.8520710059171598,0.5625,0.17307692307692307,0.2647058823529412,279,7,43,9
0.46999999999999986,0.849112426035503,0.5384615384615384,0.1346153846153846,0.2153846153846154,280,6,45,7
0.47999999999999976,0.849112426035503,0.5384615384615384,0.1346153846153846,0.2153846153846154,280,6,45,7
0.48999999999999977,0.849112426035503,0.5384615384615384,0.1346153846153846,0.2153846153846154,280,6,45,7
0.4999999999999998,0.8520710059171598,0.5833333333333334,0.1346153846153846,0.21875,281,5,45,7
0.5099999999999998,0.8520710059171598,0.6,0.11538461538461539,0.1935483870967742,282,4,46,6
0.5199999999999998,0.849112426035503,0.5555555555555556,0.09615384615384616,0.16393442622950818,282,4,47,5
0.5299999999999998,0.8520710059171598,0.625,0.09615384615384616,0.16666666666666666,283,3,47,5
0.5399999999999998,0.8550295857988166,0.8,0.07692307692307693,0.14035087719298245,285,1,48,4
0.5499999999999998,0.8520710059171598,0.75,0.057692307692307696,0.10714285714285714,285,1,49,3
0.5599999999999997,0.8520710059171598,1.0,0.038461538461538464,0.07407407407407407,286,0,50,2
0.5699999999999997,0.8520710059171598,1.0,0.038461538461538464,0.07407407407407407,286,0,50,2
0.5799999999999997,0.849112426035503,1.0,0.019230769230769232,0.03773584905660377,286,0,51,1
0.5899999999999997,0.849112426035503,1.0,0.019230769230769232,0.03773584905660377,286,0,51,1
0.5999999999999998,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6099999999999998,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6199999999999998,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6299999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6399999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6499999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6599999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6699999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6799999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6899999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.6999999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7099999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7199999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7299999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7399999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7499999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7599999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7699999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7799999999999997,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7899999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.7999999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8099999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8199999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8299999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8399999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8499999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8599999999999995,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8699999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8799999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
0.8899999999999996,0.8461538461538461,0.0,0.0,0.0,286,0,52,0
